ENTRY,DELTAG,UNCERTAINTY,CHARGE,REASON ENERGY COULD NOT BE ESTIMATED,,,,,,
C00067,-31.2,0.5,0,,,,,,,
C00068,-368.32,2.56993,-1,,,,,,,
C00069,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00070,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C00071,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00072,-194.91,1.51465,-1,,,,,,,
C00073,-75.91,0.815146,0,,,,,,,
C00074,-316.08,0.58973,-2,,,,,,,
C00075,-813.77,1.89903,-3,,,,,,,
C00076,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C00077,-85.66,0.508698,1,,,,,,,
C00078,-25,1.57896,0,,,,,,,
C00079,-51.05,0.826997,0,,,,,,,
C00080,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00081,-729.58,2.75434,-3,,,,,,,
C00082,-90.53,0.901239,0,,,,,,,
C00083,-863.66,3.54191,-4,,,,,,,
C00084,-33.4,0.5,0,,,,,,,
C00085,-431.67,1.3115,-1,,,,,,,
C00086,-48.7,0.5,0,,,,,,,
C00087,0,0.5,0,,,,,,,
C00088,-8.9,0.5,-1,,,,,,,
C00089,-377.65,2.76924,0,,,,,,,
C00090,-49.38,0.882045,0,,,,,,,
C00091,-862.04,3.5582,-4,,,,,,,
C00092,-430.78,1.50566,-1,,,,,,,
C00093,-328.68,0.378192,-1,,,,,,,
C00094,-126.15,0.5,-1,,,,,,,
C00095,-219.17,1.3556,0,,,,,,,
C00096,-673.08,3.70081,-2,,,,,,,
C00097,-83.394,0.697389,0,,,,,,,
C00098,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00099,-86.11,0.285609,0,,,,,,,
C00100,-784.21,3.54855,-3,,,,,,,
C00101,-113.97,3.02459,-2,,,,,,,
C00102,22.1,4.3872,0,,,,,,,
C00103,-430.78,1.50566,-1,,,,,,,
C00104,-521.58,2.74622,-2,,,,,,,
C00105,-397.77,1.88329,-1,,,,,,,
C00106,-61.07,1.53576,0,,,,,,,
C00107,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00108,-48.99,0.945506,-1,,,,,,,
C00109,-111.07,0.31273,-1,,,,,,,
C00110,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00111,-320.66,0.323098,-1,,,,,,,
C00112,-553.38,1.91933,-2,,,,,,,
C00113,-190.99,4.12802,-3,,,,,,,
C00114,12.19,1.9694,1,,,,,,,
C00115,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C00116,-116.18,0.443991,0,,,,,,,
C00117,-394.12,1.31756,-1,,,,,,,
C00118,-319.2,0.314914,-1,,,,,,,
C00119,-814.62,1.32186,-3,,,,,,,
C00120,-109.02,2.20701,-1,,,,,,,
C00121,-181.62,1.34975,0,,,,,,,
C00122,-143.7,0.716896,-2,,,,,,,
C00123,-84.87,0.446773,0,,,,,,,
C00124,-218.28,1.54422,0,,,,,,,
C00125,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00126,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00127,-434.73,3.05915,-2,,,,,,,
C00128,-610.28,3.05995,-2,,,,,,,
C00129,-439.84,0.57919,-2,,,,,,,
C00130,-313.58,2.74351,-1,,,,,,,
C00131,-634.01,2.99123,-3,,,,,,,
C00132,-41.9,0.5,0,,,,,,,
C00133,-87.92,0.293304,0,,,,,,,
C00134,-6.02,0.526313,2,,,,,,,
C00135,-45.63,1.132,0,,,,,,,
C00136,-782.59,3.56481,-3,,,,,,,
C00137,-219.96,1.50038,0,,,,,,,
C00138,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00139,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00140,-212.63,1.63473,0,,,,,,,
C00141,-111.26,0.38619,-1,,,,,,,
C00142,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00143,-93.65,3.08833,-2,,,,,,,
C00144,-308.3,2.74042,-1,,,,,,,
C00145,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00146,-9.9,0.786095,0,,,,,,,
C00147,78.85,2.7289,0,,,,,,,
C00148,-62.54,0.943971,-1,,,,,,,
C00149,-201,0.310287,-2,,,,,,,
C00150,0,0.5,0,,,,,,,
C00151,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00152,-123.31,0.587299,0,,,,,,,
C00153,5.55,1.50579,0,,,,,,,
C00154,-763.15,3.91127,-3,,,,,,,
C00155,-81.774,0.713777,0,,,,,,,
C00156,-92.53,0.894593,-1,,,,,,,
C00157,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00158,-280.44,0.496391,-3,,,,,,,
C00159,-218.28,1.54422,0,,,,,,,
C00160,-122.98,0.189488,-1,,,,,,,
C00161,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00162,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00163,-85.13,0.178636,-1,,,,,,,
C00164,-113.53,0.253596,-1,,,,,,,
C00165,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00166,-75.82,0.82945,-1,,,,,,,
C00167,-805.77,3.08989,-3,,,,,,,
C00168,-148.92,0.319053,-1,,,,,,,
C00169,-310.26,0.536457,-1,,,,,,,
C00170,1.27,3.12015,0,,,,,,,
C00171,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00172,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00173,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00174,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00175,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C00176,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00177,28.6,6.42676,0,,,,,,,
C00178,-61.48,1.49798,0,,,,,,,
C00179,5.87,1.56866,2,,,,,,,
C00180,-53.05,0.81975,-1,,,,,,,
C00181,-180.06,1.36935,0,,,,,,,
C00182,-693.72,6.03434,0,,,,,,,
C00183,-86.49,0.43806,0,,,,,,,
C00184,-108.16,0.356005,0,,,,,,,
C00185,-376.76,3.02215,0,,,,,,,
C00186,-123.17,0.251966,-1,,,,,,,
C00187,15.57,6.9016,0,,,,,,,
C00188,-124.34,0.414886,0,,,,,,,
C00189,-44.51,0.291766,1,,,,,,,
C00190,-724.33,2.96697,-2,,,,,,,
C00191,-261.5,1.49878,-1,,,,,,,
C00192,-38.8954,0.79702,0,,,,,,,
C00193,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00194,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C00195,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00196,-132.01,1.0939,-1,,,,,,,
C00197,-371.9,0.290854,-2,,,,,,,
C00198,-216.02,1.27577,0,,,,,,,
C00199,-393.5,0.57012,-1,,,,,,,
C00200,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00201,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00202,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C00203,-756.9,3.23624,-2,,,,,,,
C00204,-220.14,0.587848,-1,,,,,,,
C00205,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00206,-426.01,2.98376,-2,,,,,,,
C00207,-38.52,0.5,0,,,,,,,
C00208,-376.76,3.02215,0,,,,,,,
C00209,-161,0.5,-2,,,,,,,
C00210,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C00211,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00212,-45.35,3.04224,0,,,,,,,
C00213,-79.18,0.917557,0,,,,,,,
C00214,-145.84,1.77237,0,,,,,,,
C00215,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00216,-180.06,1.36935,0,,,,,,,
C00217,-164.13,0.376755,-1,,,,,,,
C00218,-9.55,0.5,1,,,,,,,
C00219,31.85,2.13147,-1,,,,,,,
C00220,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00221,-218.28,1.54422,0,,,,,,,
C00222,-111.88,0.216624,-1,,,,,,,
C00223,-770.83,3.70053,-3,,,,,,,
C00224,-367.85,3.11094,-2,,,,,,,
C00225,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00226,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00227,-301.65,0.262682,-1,,,,,,,
C00229,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00230,-132.01,1.0939,-1,,,,,,,
C00231,-393.5,0.57012,-1,,,,,,,
C00232,-110.26,0.264674,-1,,,,,,,
C00233,-109.64,0.396045,-1,,,,,,,
C00234,-144.77,3.20694,-2,,,,,,,
C00235,-439.18,0.556056,-2,,,,,,,
C00236,-586.8,0.359716,-2,,,,,,,
C00237,-28.6568,0.5,0,,,,,,,
C00238,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C00239,-305.54,1.83186,-1,,,,,,,
C00240,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00241,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00242,28.4,2.5143,0,,,,,,,
C00243,-376.76,3.02215,0,,,,,,,
C00244,-26.61,0.5,-1,,,,,,,
C00245,-126.763,0.782903,0,,,,,,,
C00246,-83.51,0.2346,-1,,,,,,,
C00247,-217.61,1.3695,0,,,,,,,
C00248,-21.54,1.63427,0,,,,,,,
C00249,-64.07,1.23901,-1,,,,,,,
C00250,-59.5,1.671,0,,,,,,,
C00251,-169.49,1.40729,-2,,,,,,,
C00252,-376.76,3.02215,0,,,,,,,
C00253,-36.89,1.42009,-1,,,,,,,
C00254,-186.17,1.31734,-2,,,,,,,
C00255,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C00256,-123.17,0.251966,-1,,,,,,,
C00257,-268.66,0.889648,-1,,,,,,,
C00258,-159.4,0.327021,-1,,,,,,,
C00259,-180.06,1.36935,0,,,,,,,
C00261,-0.35,0.828592,0,,,,,,,
C00262,23.12,2.51767,0,,,,,,,
C00263,-122.53,0.347645,0,,,,,,,
C00264,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00265,-71.088,1.34386,0,,,,,,,
C00266,-70.28,0.224679,0,,,,,,,
C00267,-218.28,1.54422,0,,,,,,,
C00268,-35.76,2.71007,0,,,,,,,
C00269,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00270,-326.4,1.55309,-1,,,,,,,
C00271,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00272,-44.57,2.61365,0,,,,,,,
C00273,-209.4,0.712802,0,,,,,,,
C00275,-430.78,1.50566,-1,,,,,,,
C00279,-355.62,0.46586,-1,,,,,,,
C00280,-18.43,6.8859,0,,,,,,,
C00281,-466.34,0.92734,-1,,,,,,,
C00282,4.2065,0.5,0,,,,,,,
C00283,-6.66,0.5,0,,,,,,,
C00284,-282.78,1.77289,-3,,,,,,,
C00286,-684.46,2.69374,-3,,,,,,,
C00287,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00288,-140.26,0.5,-1,,,,,,,
C00290,-71.06,1.32516,1,,,,,,,
C00291,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C00292,33.64,0.843582,0,,,,,,,
C00293,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00294,-101.08,2.75335,0,,,,,,,
C00295,-142.48,1.55473,-1,,,,,,,
C00296,-221.05,1.05199,-1,,,,,,,
C00297,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00298,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00299,-185.27,1.8976,0,,,,,,,
C00300,-65.59,1.83445,0,,,,,,,
C00301,-585.97,3.79729,-2,,,,,,,
C00302,-164.13,0.376755,-1,,,,,,,
C00303,-121.69,0.606668,0,,,,,,,
C00304,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00305,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C00306,-194.43,6.60105,2,,,,,,,
C00307,-479.69,2.78278,-1,,,,,,,
C00308,-98.59,1.60324,1,,,,,,,
C00309,-180.95,1.22448,0,,,,,,,
C00310,-180.95,1.22448,0,,,,,,,
C00311,-279.02,0.477608,-3,,,,,,,
C00312,-180.95,1.22448,0,,,,,,,
C00313,-862.82,3.53248,-4,,,,,,,
C00314,-67.43,1.67638,0,,,,,,,
C00315,4.79,1.15819,3,,,,,,,
C00316,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00317,-852.2,7.54615,0,,,,,,,
C00318,-65.83,1.97845,0,,,,,,,
C00319,-36.08,1.32079,1,,,,,,,
C00320,-122.7,0.5,-2,,,,,,,
C00321,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00322,-187.28,0.429596,-2,,,,,,,
C00323,-810.31,3.76215,-3,,,,,,,
C00324,Not calculated,Not calculated,Not calculated,Unlabled atoms,,,,,,
C00325,-636.85,3.67561,-2,,,,,,,
C00326,-584.45,5.28644,0,,,,,,,
C00327,-123.87,1.01741,0,,,,,,,
C00328,-76.94,0.997956,0,,,,,,,
C00329,-183.03,1.51001,1,,,,,,,
C00330,-55.96,2.68683,0,,,,,,,
C00331,-49.77,1.58025,-1,,,,,,,
C00332,-812.61,3.58037,-3,,,,,,,
C00333,-261.5,1.49878,-1,,,,,,,
C00334,-84.49,0.346578,0,,,,,,,
C00335,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00337,-151.52,1.44137,-1,,,,,,,
C00338,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00339,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00340,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00341,-411.09,1.03522,-2,,,,,,,
C00342,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00343,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00344,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00345,-481.16,0.820896,-2,,,,,,,
C00346,-257.01,0.307461,0,,,,,,,
C00347,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00348,49.72,5.56826,-1,,,,,,,
C00349,-112.07,0.27296,-1,,,,,,,
C00350,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00351,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00352,-395.53,1.48131,0,,,,,,,
C00353,-354.91,2.03365,-2,,,,,,,
C00354,-644.17,1.29798,-2,,,,,,,
C00355,-130.01,1.09934,0,,,,,,,
C00356,-900.07,3.61469,-4,,,,,,,
C00357,-425.13,1.60826,-1,,,,,,,
C00360,-218.01,2.98126,-1,,,,,,,
C00361,-476.46,2.68544,-2,,,,,,,
C00362,-268.46,2.68267,-1,,,,,,,
C00363,-566.34,1.77026,-2,,,,,,,
C00364,-358.34,1.76605,-1,,,,,,,
C00365,-357.93,1.79821,-1,,,,,,,
C00366,-90.93,3.2352,0,,,,,,,
C00367,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00369,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C00370,10.74,5.29242,0,,,,,,,
C00371,73.9,2.80623,0,,,,,,,
C00372,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C00373,-161.08,3.84782,0,,,,,,,
C00374,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C00375,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00376,78.83,2.67757,0,,,,,,,
C00377,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00378,52.18,2.5652,1,,,,,,,
C00379,-189.02,0.79901,0,,,,,,,
C00380,-8.68,1.38371,0,,,,,,,
C00381,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00382,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00383,-164.58,0.238732,-2,,,,,,,
C00384,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00385,-27.73,2.67091,0,,,,,,,
C00386,-74.59,1.32734,0,,,,,,,
C00387,-95.8,2.75027,0,,,,,,,
C00388,34.01,1.12642,1,,,,,,,
C00389,-177.08,2.71708,-1,,,,,,,
C00390,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00391,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00392,-225.44,0.98839,0,,,,,,,
C00393,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00394,-673.08,3.70081,-2,,,,,,,
C00395,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00396,40.23,1.6725,0,,,,,,,
C00397,-280.99,3.83367,5,,,,,,,
C00398,54.64,1.57496,1,,,,,,,
C00399,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00400,-23.31,1.05603,0,,,,,,,
C00401,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C00402,-165.75,0.3447,-1,,,,,,,
C00403,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00404,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00405,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00406,-795.66,3.77736,-3,,,,,,,
C00407,-84.87,0.446773,0,,,,,,,
C00408,-59.36,1.1481,-1,,,,,,,
C00409,-4.394,0.645273,0,,,,,,,
C00410,-15.54,6.87738,0,,,,,,,
C00411,-820.49,3.92887,-3,,,,,,,
C00412,-759.91,3.99319,-3,,,,,,,
C00413,-354.02,4.90989,3,,,,,,,
C00414,-14.2,1.26905,0,,,,,,,
C00415,-109.12,3.01016,-2,,,,,,,
C00416,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00417,-222.28,0.750199,-3,,,,,,,
C00418,-157.77,0.495873,-1,,,,,,,
C00419,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00420,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00421,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00422,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00423,-32.27,1.0401,-1,,,,,,,
C00424,-70.47,0.279396,0,,,,,,,
C00425,-197.74,1.1116,0,,,,,,,
C00426,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C00427,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
C00429,-70.08,1.48378,0,,,,,,,
C00430,-112.89,0.390534,0,,,,,,,
C00431,-82.87,0.417227,0,,,,,,,
C00432,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00433,-136.2,0.368702,-1,,,,,,,
C00434,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00435,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00436,-44.23,1.02633,1,,,,,,,
C00437,-115.26,0.757717,0,,,,,,,
C00438,-203.96,0.985903,-2,,,,,,,
C00439,-157.18,1.48196,-1,,,,,,,
C00440,-101.7,2.85054,-2,,,,,,,
C00441,-113.05,0.329774,0,,,,,,,
C00444,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00445,-97,3.11793,-1,,,,,,,
C00446,-430.78,1.50566,-1,,,,,,,
C00447,-678.84,0.89046,-2,,,,,,,
C00448,-383,1.53205,-2,,,,,,,
C00449,-229.72,1.15346,-1,,,,,,,
C00450,-56.09,1.01049,-1,,,,,,,
C00451,-279.02,0.477608,-3,,,,,,,
C00454,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00455,-337.74,2.01206,0,,,,,,,
C00458,-721.54,1.84804,-3,,,,,,,
C00459,-774.34,1.78283,-3,,,,,,,
C00460,-773.93,1.81469,-3,,,,,,,
C00461,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C00462,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00463,54.41,1.59304,0,,,,,,,
C00464,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00465,73.57,2.76325,0,,,,,,,
C00466,-72.12,0.345267,0,,,,,,,
C00468,-16.98,4.32493,0,,,,,,,
C00469,-43.44,0.5,0,,,,,,,
C00470,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00471,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00472,-32.56,1.62365,0,,,,,,,
C00473,70.9,2.66618,0,,,,,,,
C00474,-189.02,0.79901,0,,,,,,,
C00475,-132.88,1.92951,0,,,,,,,
C00476,-180.06,1.36935,0,,,,,,,
C00477,-184.59,9.46581,0,,,,,,,
C00478,-157.6,1.57269,-1,,,,,,,
C00479,-32.43,0.215606,0,,,,,,,
C00480,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C00481,33.78,1.22383,0,,,,,,,
C00482,-121.41,1.69031,-1,,,,,,,
C00483,-10.89,0.894219,1,,,,,,,
C00484,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers,,,,,,
C00486,-3.16,7.1632,-2,,,,,,,
C00487,-65.83,1.97845,0,,,,,,,
C00488,-28.36,0.369401,0,,,,,,,
C00489,-161.34,0.344476,-2,,,,,,,
C00490,-143.56,0.605948,-2,,,,,,,
C00491,-159.61,1.32944,0,,,,,,,
C00492,-536.13,4.25369,0,,,,,,,
C00493,-171.29,0.954259,-1,,,,,,,
C00494,-183.56,3.33931,5,,,,,,,
C00495,-191.68,2.78169,0,,,,,,,
C00496,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00497,-201,0.310287,-2,,,,,,,
C00498,-622.63,3.92265,-2,,,,,,,
C00499,-166.94,1.89793,-1,,,,,,,
C00500,12.96,8.60192,-2,,,,,,,
C00501,-710.16,3.13926,-2,,,,,,,
C00502,-232.24,0.696223,-1,,,,,,,
C00503,-152.6,0.615213,0,,,,,,,
C00504,-109.27,3.18647,-2,,,,,,,
C00505,-187.34,3.82888,5,,,,,,,
C00506,-206.402,0.790911,-1,,,,,,,
C00507,-182.05,1.49863,0,,,,,,,
C00508,-180.95,1.22448,0,,,,,,,
C00509,-113.81,2.2303,0,,,,,,,
C00510,-737.55,3.9411,-3,,,,,,,
C00511,-64.98,0.475215,-1,,,,,,,
C00512,-752.13,3.61833,-3,,,,,,,
C00513,-608.06,2.03125,-2,,,,,,,
C00514,-268.66,0.889648,-1,,,,,,,
C00515,-85.66,0.508698,1,,,,,,,
C00516,Not calculated,Not calculated,Not calculated,No molfile exists for this compound.,,,,,,
C00517,-11.37,1.24487,0,,,,,,,
C00518,Not calculated,Not calculated,Not calculated,Involves psuedoatoms or polymers|Unlabled atoms,,,,,,
C00519,Not calculated,Not calculated,Not calculated,Involves groups with unknown energy,,,,,,
