ENTRY,NAMES,LITERATURE  ÆfG'¡,ESTIMATED ÆfG'¡,SEÆfG'¡,SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,glycine|gly|,-88.6,-87.73,0.24,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,glycine|gly|,-90.8,-87.73,0.24,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,succinate|succ|,-165,-162.96,0.28,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,succinate|succ|,-165,-162.96,0.28,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,glyoxylate|glx|,-112,-111.04,0.27,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,glyoxylate|glx|,-112,-111.04,0.27,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,L-aspartate|asp-L|,-166.3,-165.75,0.34,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,L-aspartate|asp-L|,-167.1,-165.75,0.34,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,formate|for|,-83.89,-83.90,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,formate|for|,-83.9,-83.90,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,sulfate|so4|,-178,-177.97,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,L-glutamine|gln-L|,-126.2,-121.69,0.61,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,L-glutamine|gln-L|,-126.6,-121.69,0.61,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,formaldehyde|fald|,-31.2,-31.20,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,phosphoenolpyruvate|pep|,-311.57,-316.08,0.59,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,L-tryptophan|trp-L|,-27.41,-25.00,1.58,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,L-tryptophan|trp-L|,-26.9,-25.00,1.58,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,L-phenylalanine|phe-L|,-49.5,-51.05,0.83,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,H|H+|h|,-9.53,-9.53,0.00,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,L-tyrosine|tyr-L|,-88.6,-90.53,0.90,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,L-tyrosine|tyr-L|,-88.6,-90.53,0.90,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,acetaldehyde|acald|,-33.22,-33.40,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,acetaldehyde|acald|,-33.4,-33.40,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,D-fructose-6-phosphate|,-429.4,-431.67,1.31,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,urea|,-48.47,-48.70,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,urea|,-48.7,-48.70,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,sucrose|sucr|,-373.97,-377.65,2.77,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,sucrose|sucr|,-370.9,-377.65,2.77,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,glycerophosphate|glyc3p|,-333.9,-328.68,0.38,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,glycerol|glyc|,-118.9,-116.18,0.44,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,glycerol|glyc|,-116.76,-116.18,0.44,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,D-ribose-5-phosphate|,-387.37,-394.12,1.32,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,D-ribose|rib-D|,-176.58,-181.62,1.35,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,D-ribose|rib-D|,-181,-181.62,1.35,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,leucine|leu|,-84.20,-84.87,0.45,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,leucine|leu|,-82.0,-84.87,0.45,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,methanol|,-41.92,-41.90,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,methanol|,-41.90,-41.90,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,alanine|ala|,-88.67,-87.92,0.29,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,alanine|ala|,-88.8,-87.92,0.29,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,phenol|,-12.45,-9.90,0.79,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,adenine|,74.25,78.85,2.73,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,L-asparagine|asn-L|,-125.70,-123.31,0.59,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,L-asparagine|asn-L|,-125.91,-123.31,0.59,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,citrate|cit|,-279.24,-280.44,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,citrate|cit|,-277.89,-280.44,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,glycolate|glyclt|,-126.9,-122.98,0.19,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,glycolate|glyclt|,-126.90,-122.98,0.19,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,propanoate|ppa|,-86.3,-85.13,0.18,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,L-valine|val-L|,-85.72,-86.49,0.44,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,L-valine|val-L|,-85.3,-86.49,0.44,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,dihydroxyacetone|dha|,-106.40,-108.16,0.36,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,dihydroxyacetone|dha|,-106.5,-108.16,0.36,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,L-threonine|thr-L|,-123,-124.34,0.41,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,acetone|,-38.17,-38.52,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,acetone|,-38.52,-38.52,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,adenosine|,-46.49,-45.35,3.04,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,D-glutamate|glu-L|,-166.70,-164.13,0.38,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,D-glutamate|glu-L|,-167.2,-164.13,0.38,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,acetyl-phosphate|acetyl-p|,-303.08,-301.65,0.26,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"1,3-bpg|",-583.49,-586.80,0.36,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,palmitate|,-62.00,-64.07,1.24,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,lactate|lac-L|,-123.50,-123.17,0.25,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,lactate|lac-L|,-123.6,-123.17,0.25,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,D-gluconate|glcn|,-269.7,-268.66,0.89,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,glycerate|glyc-R|,-157.3,-159.40,0.33,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"hypoxanthine|Hypoxanthine|hypoxanthine(0,4)|hypoxanthine|hxan|",21.39,23.12,2.52,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"hypoxanthine|Hypoxanthine|hypoxanthine(0,4)|hypoxanthine|hxan|",21.4,23.12,2.52,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,H2|h2|,4.21,4.21,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"creatine|Creatine|creatine(0,9)|creatine|",-61.95,-65.59,1.83,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"creatine|Creatine|creatine(0,9)|creatine|",-63.17,-65.59,1.83,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,isocitrate|icit|,-276.30,-279.02,0.48,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,isocitrate|icit|,-277.65,-279.02,0.48,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"D-fructose-1,6-bisphosphate|",-639.08,-644.17,1.30,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,urate|,-85.3,-90.93,3.24,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,cis-aconitate|acon-C|,-219.20,-222.28,0.75,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,cis-aconitate|acon-C|,-220.51,-222.28,0.75,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,lyxose|xylose|arabinose|,-177.40,-180.06,1.37,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,lyxose|xylose|arabinose|,-179.05,-180.06,1.37,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,lyxose|xylose|arabinose|,-179.37,-180.06,1.37,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,ribulose|xylulose|,-175.89,-180.95,1.22,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,ribulose|xylulose|,-178.33,-180.95,1.22,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,benzyl-alcohol|,-6.6,-8.28,0.79,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,glyceraldehyde|glyald|,-104.6,-106.70,0.35,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,3-phospho-D-glycerate|pg3|,-369.39,-371.90,0.29,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,D-ribose-1-phosphate|,-385.44,-394.12,1.32,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,2-phospho-D-glycerate|pg2|,-368.07,-371.90,0.29,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,serine|,-122.10,-124.15,0.31,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,serine|,-122.1,-124.15,0.31,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,"3-hydroxypropanoate|b-Hydroxypropionate|hydroxypropionate(-1,5)|hydroxypropionate|b-hydroxypropionate|",-123.9,-121.36,0.24,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,D-galactose-6-phosphate|D-glucose-6-phosphate|D-mannose-6-phosphate|,-430.35,-430.78,1.51,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,ethylene-glycol|,-79,-79.76,0.31,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,maleate|fumarate|fum|,-144.41,-143.70,0.72,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,maleate|fumarate|fum|,-143.85,-143.70,0.72,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,butanal|butyraldehyde|,-28.60,-30.81,0.26,"Wagman, 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,fructose|fru|,-218.81,-219.17,1.36,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,fructose|fru|,-218.78,-219.17,1.36,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,thiocyanate|,22.16,22.20,5.69,"Wagman, 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,erythrose|,-143,-143.40,1.20,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,isopropanol|,-44.27,-43.72,0.29,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,isopropanol|,-44.44,-43.72,0.29,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,3-oxobutanoate|acetoacetate|acac|b-ketobutyrate|,-118,-113.53,0.25,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,n-butanol|,-41.10,-40.29,0.31,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,n-butanol|,-41.07,-40.29,0.31,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,D-psicose|L-sorbose|D-tagatose|,-217.96,-217.61,1.37,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,hco3|bicarbonate|,-140.24,-140.26,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,hco3|bicarbonate|,-140.26,-140.26,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,ATP|atp|,-671.96,-673.85,3.04,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,ADP|adp|,-465.37,-465.85,3.04,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,n-propanol|,-42.02,-41.91,0.24,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,glycerone-phosphate|,-317.59,-320.66,0.32,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,h2o|,-56.69,-56.69,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,h2o|,-56.687,-56.69,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,glucose|galactose|mannose|allose|altrose|gal|glc-D|,-217.24,-218.28,1.54,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,glucose|galactose|mannose|allose|altrose|gal|glc-D|,-218.90,-218.28,1.54,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,glucose|galactose|mannose|allose|altrose|gal|glc-D|,-217.50,-218.28,1.54,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,glucose|galactose|mannose|allose|altrose|gal|glc-D|,-220.73,-218.28,1.54,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,glucose|galactose|mannose|allose|altrose|gal|glc-D|,-219.22,-218.28,1.54,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,HCN|,28.61,28.60,6.43,"Wagman, 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,cyanate|,-23.28,-23.30,5.01,"Wagman, 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,oxalate|,-161.07,-161.00,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,oxalate|,-161.1,-161.00,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,ethane|,-4.07,-4.07,0.50,"Wagman, 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,ethane|,-4.17,-4.07,0.50,"Dolfing, 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,acetate|ac|,-88.27,-88.29,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,acetate|ac|,-88.29,-88.29,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,ethanol|etoh|,-43.41,-43.44,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,ethanol|etoh|,-43.44,-43.44,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,CH3NHp|,8.94,8.95,1.96,"Wagman, 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,sorbitol|mannitol|iditol|galactitol|allitol|mnl|sbt-D|,-225.30,-225.44,0.99,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,sorbitol|mannitol|iditol|galactitol|allitol|mnl|sbt-D|,-225.29,-225.44,0.99,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,sorbitol|mannitol|iditol|galactitol|allitol|mnl|sbt-D|,-225.31,-225.44,0.99,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,butyrate|but|,-84.30,-83.51,0.23,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,butyrate|but|,-84.28,-83.51,0.23,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,valerate|,-82.3,-81.89,0.31,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,acrylate|,-68.4,-64.98,0.48,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,crotonate|,-66.3,-62.70,0.56,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,b-Hydroxybutyrate|,-121,-121.55,0.27,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,cellobiose|beta-lactose|beta-maltose|,-374.60,-376.76,3.02,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,cellobiose|beta-lactose|beta-maltose|,-376.36,-376.76,3.02,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,cellobiose|beta-lactose|beta-maltose|,-375.26,-376.76,3.02,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,cysteine|cys-L|,-81.00,-83.39,0.70,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,cysteine|cys-L|,-81.21,-83.39,0.70,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,cystine|,-159.4,-159.61,1.33,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,cystine|,-159.30,-159.61,1.33,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,isoleucine|ile-L|,-82.2,-84.87,0.45,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,creatinine|,-5.53,-6.19,2.80,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,creatinine|,-6.91,-6.19,2.80,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,NH2-CH2-CH2-SO3|,-121.76,-126.76,0.78,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,methylamine|,-9.53,-9.55,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,methylamine|,-9.55,-9.55,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,dimethylamine|,-0.8,-1.35,0.93,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,trimethylamine|,8.9,4.55,1.21,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,pyridine|,42.33,44.52,1.61,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,malate|mal-L|,-201.40,-201.00,0.31,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,malate|mal-L|,-201.98,-201.00,0.31,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,ethylacetate|,-80.70,-80.98,0.48,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,glucose-1-phosphate|galactose-1-phosphate|mannose-1-phosphate|,-428.77,-430.78,1.51,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,glucose-1-phosphate|galactose-1-phosphate|mannose-1-phosphate|,-428.24,-430.78,1.51,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,glyceraldehyde-3-phosphate|g3p|,-315.76,-319.20,0.31,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,glycylglycine|,-124.33,-118.31,0.71,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,indole|,53.49,54.41,1.59,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,oxalosuccinate|,-272.20,-268.54,0.46,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,co2|,-92.26,-92.26,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,co|,-28.66,-28.66,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,ch4|methane|,-8.21,-8.21,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,ch4|methane|,-8.31,-8.21,0.50,"Dolfing, 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,n2|,4.5,4.47,0.50,"Alberty, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,benzene|,29.76,33.26,1.21,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,ClO3|,-0.8,-0.80,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,ClO2|,4.1,4.10,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,caproate|hxa|,-80.3,-80.27,0.38,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,heptose|,-257,-254.70,1.61,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,fe2|Fe2+|,-18.85,-18.85,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,fe3|Fe3+|,-1.1,-1.10,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,so3|,-126.15,-126.15,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,no2|,-8.9,-8.90,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,no3|,-26.61,-26.61,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,n2h4|,30.6,30.60,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,o2-|o2s|,6.9,6.90,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,s2o3|tsul|,-122.7,-122.70,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,s2o4|,-143.5,-143.50,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,s3o6|,-229,-229.00,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,s4o6|,-244.3,-241.82,1.90,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,h2s|,-6.66,-6.66,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,so2|,-71.871,-71.90,0.50,"Thauer, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,cyclopropane|,27.6,27.62,1.93,"Mavrovouniotis, 1990",,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,9-Methyldecalin,24.2,24.18,3.80,"Mavrovouniotis, 1990",,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Dicyanoacetylene|,102.2,102.20,12.71,"Mavrovouniotis, 1990",,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,chloromethane|,-12.6,-12.60,1.90,"Dolfing, 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,dichloromethane|,-15.8,-15.80,1.90,"Dolfing, 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,trichloromethane|,-15.9,-15.90,1.90,"Dolfing, 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,tetrachloromethane|,-10.8,-10.80,1.90,"Dolfing, 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,chloroethane|,-13,-13.73,0.50,"Dolfing, 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,"1,2-dichloroethane|",-17.4,-18.24,1.04,"Dolfing, 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,"1,1-dichloroethane|",-16.4,-15.65,0.82,"Dolfing, 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,
