ENTRY,DELTAG,UNCERTAINTY,REASON ENERGY COULD NOT BE ESTIMATED
R00001,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R01681,Not calculated,Not calculated,Involves groups with unknown energies
R01682,-3.09,0.5417,
R01683,9.207,1.51055,
R01684,-1,0.351998,
R01685,Not calculated,Not calculated,Involves unknown structures
R01686,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R01687,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R01688,2.63,0.290389,
R01689,16.55,1.19027,
R01690,-6.643,0.693232,
R01694,3.95,1.64005,
R01695,-27.7597,1.48921,
R01696,Not calculated,Not calculated,Involves unknown structures
R01697,Not calculated,Not calculated,Involves unknown structures
R01698,1.548,2.30103,
R01699,-9.684,1.94866,
R01700,-9.684,1.94866,
R01701,-9.684,1.94866,
R01702,-9.684,1.94866,
R01703,-137.611,1.88333,
R01704,-9.803,1.17612,
R01705,Not calculated,Not calculated,Involves unknown structures
R01706,-5.757,1.20727,
R01707,8.2,2.37626,
R01708,3.67,1.09642,
R01709,Not calculated,Not calculated,Charge imbalanced
R01710,-25.5727,1.06331,
R01711,-28.0397,0.779795,
R01712,-2.55,0.426032,
R01713,-2.55,0.426032,
R01714,-13.424,0.949686,
R01715,-16.68,1.15696,
R01716,-7.19,0.574176,
R01717,0,2,
R01718,-3.113,0.692797,
R01719,-6.817,0.717554,
R01720,14.167,1.32232,
R01721,-3.8,2.35135,
R01722,-1.14,0.997944,
R01723,0.463,0.848213,
R01724,0.07,1.03389,
R01725,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R01726,-0.15,0.904399,
R01728,-16.12,2.0867,
R01730,-16.12,2.0867,
R01731,0,2,
R01732,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R01734,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R01735,-9.803,1.17612,
R01736,-5.757,1.20727,
R01737,-4.5,0.23673,
R01738,3.76,1.07969,
R01739,6.22,1.09509,
R01740,3.76,1.07969,
R01741,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R01742,Not calculated,Not calculated,Involves unknown structures
R01745,5.22,1.06983,
R01747,5.22,1.06983,
R01748,-2.317,0.735634,
R01749,9.31,1.20243,
R01750,9.31,1.20243,
R01751,-3.09,0.5417,
R01752,-9.803,1.17612,
R01754,-4.5,0.23673,
R01756,-2,1.60921,
R01757,-3.56,1.59256,
R01758,4.7,1.75914,
R01759,4.7,1.75914,
R01760,-3.113,0.692797,
R01761,-0.89,0.608878,
R01762,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R01763,3.67,1.09642,
R01764,-4.09,0.595908,
R01766,1.01,0.449129,
R01767,23.57,5.28902,
R01768,1.577,1.55505,
R01769,-30.1327,1.28547,
R01770,-0.733,0.964152,
R01771,-4.5,0.23673,
R01773,5.22,1.06983,
R01775,5.22,1.06983,
R01776,-3.614,1.17862,
R01777,-3.614,1.17862,
R01778,3.76,1.07969,
R01779,3.76,1.07969,
R01780,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves groups with unknown energies
R01781,5.22,1.06983,
R01782,0.75,0.292867,
R01784,0.75,0.292867,
R01785,2.51,1.15916,
R01786,-4.5,0.23673,
R01787,2.9,1.86338,
R01788,-2.317,0.735634,
R01789,-16.313,1.00154,
R01790,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R01791,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R01793,-4.55,2.01304,
R01794,-4.55,2.01304,
R01795,-91.2767,1.89533,
R01797,-9.313,0.746895,
R01798,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves groups with unknown energies
R01799,1.07,0.746895,
R01800,-5.74,0.451684,
R01801,-4.5,0.23673,
R01802,-4.5,0.23673,
R01803,Not calculated,Not calculated,Involves unknown structures
R01804,12.507,1.17005,
R01805,-2.317,0.735634,
R01806,-3.614,1.17862,
R01807,-3.614,1.17862,
R01808,-3.614,1.17862,
R01809,Not calculated,Not calculated,Involves unknown structures
R01810,-3.683,0.840143,
R01811,1.08,0.781866,
R01812,-3.82,2.57016,
R01813,3.76,1.07969,
R01814,-91.2767,1.89533,
R01815,-91.2767,1.89533,
R01816,-91.2767,1.89533,
R01817,2.9,1.86338,
R01818,0,2,
R01819,-0.89,0.608878,
R01821,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R01823,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R01824,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R01825,-9.803,1.17612,
R01826,-12.177,0.987542,
R01827,-1.75,1.28569,
R01829,2.56,0.379627,
R01830,1.75,1.28569,
R01833,Not calculated,Not calculated,Involves unknown structures
R01834,Not calculated,Not calculated,Involves unknown structures
R01835,Not calculated,Not calculated,Involves unknown structures
R01836,2.3,1.11438,
R01837,0.75,1.13993,
R01838,2.3,1.11438,
R01839,0.75,1.13993,
R01840,-92.5767,1.27653,
R01841,2.88,0.756188,
R01842,Not calculated,Not calculated,Atoms imbalanced
R01843,-4.5,0.23673,
R01844,-2.51,1.48307,
R01845,-2.317,0.735634,
R01846,-4.5,0.23673,
R01847,-4.5,0.23673,
R01848,-4.5,0.23673,
R01849,Not calculated,Not calculated,Involves unknown structures
R01850,11.616,3.08792,
R01851,-12.7487,1.29088,
R01853,-22.7827,1.06966,
R01854,Not calculated,Not calculated,Involves unknown structures
R01855,-8.243,0.748021,
R01856,Not calculated,Not calculated,Involves groups with unknown energies
R01857,0,2,
R01858,4.61,0.654305,
R01859,-2.884,0.74721,
R01860,-0.1,0.661856,
R01861,-5.2925,1.20243,
R01862,-16.003,0.818234,
R01863,1.584,0.969017,
R01866,4.78,1.16417,
R01867,-26.9297,1.02711,
R01868,Not calculated,Not calculated,Involves unknown structures
R01869,4.78,1.16417,
R01870,3.01,0.976667,
R01872,2.3,1.11438,
R01873,-41.42,4.40464,
R01874,1.761,1.14096,
R01875,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies
R01876,1.584,0.969017,
R01877,-2.317,0.735634,
R01878,-5.143,1.45906,
R01879,-110.08,0.830319,
R01880,-4.5,0.23673,
R01881,1.93,0.763721,
R01882,-8.747,1.03363,
R01883,-8.76,2.51295,
R01884,-2.713,3.38,
R01885,-9.313,0.746895,
R01886,6.727,0.800414,
R01887,3.044,5.06244,
R01888,-4.5,0.23673,
R01889,-5.294,1.25997,
R01890,1.07,0.746895,
R01891,-4.5,0.23673,
R01892,Not calculated,Not calculated,Involves unknown structures
R01893,3.81,1.6395,
R01895,3.81,1.6395,
R01896,3.81,1.6395,
R01898,0.89,0.608878,
R01899,6.22,1.09509,
R01900,0.053,0.8965,
R01901,-4.55,1.19475,
R01902,-4.5,0.23673,
R01903,3.81,1.6395,
R01904,3.81,1.6395,
R01905,-3.04,1.32024,
R01906,0.89,0.608878,
R01908,-4.09,0.595908,
R01909,-4.5,0.23673,
R01910,-28.0397,0.779795,
R01911,2.317,0.735634,
R01912,-1.7,0.632032,
R01913,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R01914,-23.5027,1.2779,
R01915,Not calculated,Not calculated,Involves unknown structures
R01916,-2.003,0.984391,
R01917,-6.354,0.856942,
R01918,-0.463,0.848213,
R01919,0,2,
R01920,-10.46,2.36612,
R01921,3.76,1.07969,
R01922,-4.723,0.88056,
R01923,-3.614,1.17862,
R01924,-2.143,0.675486,
R01925,2.163,0.767366,
R01926,-4.5,0.23673,
R01927,2.21,1.10605,
R01928,-1.7,0.632032,
R01929,-4.5,0.23673,
R01930,-34.043,1,
R01931,-9.85,6.03925,
R01932,-6.22,1.09509,
R01933,-8.136,1.5977,
R01934,3.13,1.24076,
R01936,-3.09,0.5417,
R01937,17.793,1.71089,
R01938,17.793,1.71089,
R01939,0,2,
R01940,-9.684,1.94866,
R01941,-4.046,1.52188,
R01942,-4.36,2.22091,
R01943,-2.486,1.23168,
R01944,-5.294,1.25997,
R01945,-3.614,1.17862,
R01946,-3.614,1.17862,
R01951,1.07,0.746895,
R01952,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves groups with unknown energies
R01953,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R01954,-0.12,1.77868,
R01956,0,2,
R01957,-1.46,0.300689,
R01959,-0.503,1.01133,
R01960,-95.8267,1.31456,
R01961,-4.5,0.23673,
R01962,-39.1927,1.76547,
R01963,-14.2805,1.16074,
R01964,-4.5,0.23673,
R01965,-4.5,0.23673,
R01966,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R01967,-4.5,0.23673,
R01968,-2.317,0.735634,
R01969,1.584,0.969017,
R01971,6.22,1.09509,
R01972,-19.2,2.1866,
R01973,-19.2,2.1866,
R01974,-4.09,0.595908,
R01975,3.76,1.07969,
R01976,3.76,1.07969,
R01977,3.76,1.07969,
R01978,6.467,1.29575,
R01980,-4.5,0.23673,
R01981,-7.483,1.92638,
R01982,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R01983,-0.89,0.608878,
R01984,8.043,1.39574,
R01986,-9.803,1.17612,
R01987,2.003,0.984391,
R01989,0,2,
R01990,-3.903,1.68444,
R01991,-7.78,0.882611,
R01992,-0.463,0.848213,
R01993,-5.283,1.51044,
R01994,Not calculated,Not calculated,Involves unknown structures
R01995,Not calculated,Not calculated,Involves unknown structures
R01996,Not calculated,Not calculated,Involves unknown structures
R01997,Not calculated,Not calculated,Involves unknown structures
R01998,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R01999,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R02000,Not calculated,Not calculated,Involves unknown structures
R02002,Not calculated,Not calculated,Involves unknown structures
R02003,-13,0.667887,
R02004,Not calculated,Not calculated,Involves groups with unknown energies
R02006,-30.703,3.80143,
R02007,52.66,6.23304,
R02008,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R02009,-4.3,1.27394,
R02010,0.39,2.61588,
R02011,Not calculated,Not calculated,Involves unknown structures
R02012,Not calculated,Not calculated,Involves unknown structures
R02013,-16.35,1.55535,
R02014,17.299,2.29428,
R02016,-4.712,2.48412,
R02017,17.299,2.29428,
R02018,17.299,2.29428,
R02019,17.299,2.29428,
R02020,17.299,2.29428,
R02021,-16.602,2.36857,
R02022,17.299,2.29428,
R02023,17.299,2.29428,
R02024,17.299,2.29428,
R02025,Not calculated,Not calculated,Involves groups with unknown energies
R02026,-13.986,2.13524,
R02027,-4.813,0.694983,
R02029,-2.317,0.735634,
R02030,-4.5,0.23673,
R02032,6.22,1.09509,
R02034,6.22,1.09509,
R02035,-5.483,1.42078,
R02036,-8.167,0.693353,
R02037,-10.46,2.36612,
R02038,1.07,0.746895,
R02039,-9.803,1.17612,
R02040,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R02041,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R02042,Not calculated,Not calculated,Involves unknown structures
R02047,5.22,1.06983,
R02048,-1,0.351998,
R02050,-1,0.351998,
R02051,-3.573,0.794341,
R02052,-3.573,0.794341,
R02053,-2.143,0.675486,
R02054,-2.143,0.675486,
R02055,-3.09,0.5417,
R02056,-14.2,2.26382,
R02057,-5.74,0.451684,
R02058,-5.294,1.25997,
R02059,-2.003,0.984391,
R02060,0,2,
R02061,-13,0.667887,
R02063,-52.62,3.47142,
R02064,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R02065,-17.8,1.81887,
R02068,-22.74,4.27462,
R02069,-2.317,0.735634,
R02071,-4.5,0.23673,
R02073,-3.074,0.735634,
R02075,-72.0097,1.62156,
R02076,-72.0097,1.62156,
R02077,0,2,
R02078,-81.3067,1.70721,
R02079,-0.19,0.887102,
R02080,-3.09,0.5417,
R02081,1.174,2.36537,
R02082,1.174,2.36537,
R02083,-5.757,1.20727,
R02084,0,2,
R02085,3.023,0.796109,
R02086,0,2,
R02087,0,2,
R02088,-2.317,0.735634,
R02089,-4.5,0.23673,
R02090,0,2,
R02091,-4.5,0.23673,
R02092,-6.817,0.717554,
R02093,0,2,
R02094,0,2,
R02095,-6.817,0.717554,
R02096,-4.5,0.23673,
R02097,-4.5,0.23673,
R02098,0,2,
R02099,-4.5,0.23673,
R02100,-8.243,0.748021,
R02101,-15.88,1.91405,
R02102,-2.317,0.735634,
R02103,-10.773,1.76812,
R02106,-0.6427,3.82007,
R02107,-42.4827,1.45968,
R02108,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R02109,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R02110,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R02111,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R02112,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R02113,-1.7,0.632032,
R02114,0,2,
R02115,-2.143,0.675486,
R02116,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R02118,-1.7,0.632032,
R02119,-1.7,0.632032,
R02120,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R02121,0,2,
R02122,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R02123,-9.803,1.17612,
R02124,3.67,1.09642,
R02125,-41.5127,0.888379,
R02126,0,2,
R02127,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|Involves compounds with unlabeded atoms
R02128,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|Involves compounds with unlabeded atoms
R02129,Not calculated,Not calculated,Charge imbalanced
R02130,Not calculated,Not calculated,Involves unknown structures
R02131,Not calculated,Not calculated,Involves unknown structures
R02132,-68.0024,1.51192,
R02133,-3.673,1.02208,
R02134,-4.5,0.23673,
R02135,2.317,0.735634,
R02136,-4.5,0.23673,
R02137,-0.733,0.964152,
R02138,-3.614,1.17862,
R02139,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R02141,-13.963,2.4171,
R02142,3.01,0.976667,
R02143,-0.733,0.964152,
R02144,-6.74,2.32676,
R02145,-8.883,1.24787,
R02147,1.584,0.969017,
R02148,-2.317,0.735634,
R02150,-24.0227,1.03587,
R02152,-5.294,1.25997,
R02153,-6.354,0.856942,
R02154,-7.78,0.882611,
R02155,-6.74,2.32676,
R02156,-109.697,2.24211,
R02157,-3.53,2.40602,
R02158,-0.87,1.12069,
R02159,-3.67,0.95526,
R02160,-120.407,1.62729,
R02161,Not calculated,Not calculated,Involves unknown structures
R02162,112.24,6.68805,
R02163,17.44,2.83616,
R02164,-2.44,2.55414,
R02165,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R02166,Not calculated,Not calculated,Charge imbalanced
R02167,-2.317,0.735634,
R02168,-1.7,0.632032,
R02170,-16.003,0.818234,
R02171,Not calculated,Not calculated,Charge imbalanced
R02172,Not calculated,Not calculated,Charge imbalanced
R02173,-24.0227,1.03587,
R02174,-6.74,2.32676,
R02175,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R02177,2.3,1.11438,
R02178,-95.8067,1.3123,
R02179,-1.7,0.632032,
R02180,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R02181,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R02182,-14.763,0.773539,
R02183,Not calculated,Not calculated,Involves unknown structures
R02184,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced
R02185,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced
R02186,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced
R02187,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced
R02188,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R02189,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced
R02190,1.487,1.23776,
R02191,-4.054,1.28789,
R02192,Not calculated,Not calculated,Involves unknown structures
R02193,-4.046,1.52188,
R02194,-2.486,1.23168,
R02195,-3.614,1.17862,
R02196,8.687,1.31216,
R02197,-23.0227,1.06194,
R02199,0,2,
R02200,0,2,
R02201,-2.43,1.4902,
R02203,-2.43,1.4902,
R02204,-32.6997,1.12119,
R02205,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R02206,Not calculated,Not calculated,Involves unknown structures
R02207,3.76,1.07969,
R02208,13.57,1.55097,
R02209,3.76,1.07969,
R02210,-103.247,1.34333,
R02211,Not calculated,Not calculated,Involves unknown structures
R02212,Not calculated,Not calculated,Involves unknown structures
R02213,Not calculated,Not calculated,Involves unknown structures
R02214,Not calculated,Not calculated,Involves unknown structures
R02215,Not calculated,Not calculated,Involves unknown structures
R02216,0.75,1.13993,
R02217,0.75,1.13993,
R02218,Not calculated,Not calculated,Involves unknown structures
R02219,-13.57,1.55097,
R02220,-4.046,1.52188,
R02221,-2.486,1.23168,
R02222,Not calculated,Not calculated,Involves unknown structures
R02223,-15.991,2.46808,
R02224,-15.991,2.46808,
R02225,-4.5,0.23673,
R02226,-3.43,0.736571,
R02227,-4.5,0.23673,
R02228,-2.317,0.735634,
R02229,-2.3,1.11438,
R02231,-97.2467,1.51614,
R02232,-1.04,0.545096,
R02233,-26.9427,1.08182,
R02234,Not calculated,Not calculated,Involves unknown structures
R02235,-4.41,1.35603,
R02236,-4.41,1.35603,
R02237,-6.354,0.856942,
R02238,-0.874,1.49255,
R02239,-2.317,0.735634,
R02240,-4.5,0.23673,
R02241,3.614,1.17862,
R02242,-3.614,1.17862,
R02243,-4.01,0.689804,
R02244,0,2,
R02245,-4.5,0.23673,
R02246,23.76,1.61092,
R02247,23.76,1.61092,
R02248,-2.317,0.735634,
R02249,-2.317,0.735634,
R02250,-2.143,0.675486,
R02251,3.614,1.17862,
R02252,11.73,1.26187,
R02253,-95.8267,1.31456,
R02254,-95.8267,1.31456,
R02255,-2.486,1.23168,
R02256,-2.67,0.638381,
R02257,5.22,1.06983,
R02258,5.22,1.06983,
R02259,5.22,1.06983,
R02260,6.22,1.09509,
R02261,0.75,0.292867,
R02262,3.42,1.45238,
R02263,2.56,0.379627,
R02264,Not calculated,Not calculated,Involves unknown structures
R02265,Not calculated,Not calculated,Involves groups with unknown energies
R02266,Not calculated,Not calculated,Involves groups with unknown energies
R02267,Not calculated,Not calculated,Involves groups with unknown energies
R02268,Not calculated,Not calculated,Involves groups with unknown energies
R02269,-7.083,1.55484,
R02270,-3.09,0.5417,
R02271,1.46,0.300689,
R02272,1.46,0.300689,
R02273,-4.723,0.88056,
R02274,-1,0.351998,
R02276,-2.003,0.984391,
R02277,-27.9497,0.756099,
R02278,-9.167,0.603166,
R02279,-12.257,0.839086,
R02280,11.597,1.31421,
R02281,Not calculated,Not calculated,Involves unknown structures
R02282,0,2,
R02283,-1,0.351998,
R02284,-3.723,1.48752,
R02285,21.377,1.58668,
R02286,2.817,1.57336,
R02287,-0.07,2.24648,
R02288,-14.183,1.79064,
R02289,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R02291,-0.356,1.19502,
R02292,-30.864,1.71356,
R02293,-1,0.351998,
R02294,-1.356,1.02667,
R02295,-1.356,1.02667,
R02296,1.584,0.969017,
R02297,1.584,0.969017,
R02298,Not calculated,Not calculated,Charge imbalanced
R02299,0,2,
R02300,-1.407,1.75619,
R02301,-8.224,1.76042,
R02302,10.04,2.30329,
R02303,0,2,
R02305,Not calculated,Not calculated,Involves groups with unknown energies
R02306,-12.65,3.31104,
R02307,-35.78,3.77635,
R02308,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced
R02309,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R02310,-3.33,0.590841,
R02311,-35.05,2.49244,
R02313,8.207,1.49234,
R02315,8.207,1.49234,
R02317,12.497,1.19032,
R02318,0,2,
R02319,-6.817,0.717554,
R02320,4.61,0.654305,
R02321,-4.5,0.23673,
R02322,-4.723,0.88056,
R02323,-2.317,0.735634,
R02324,-4.5,0.23673,
R02325,-5.143,1.45906,
R02326,0,2,
R02327,-4.5,0.23673,
R02328,1.07,0.746895,
R02329,1.07,0.746895,
R02330,-6.817,0.717554,
R02331,0,2,
R02332,-4.5,0.23673,
R02333,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R02334,Not calculated,Not calculated,Atoms imbalanced|H imbalanced|Involves groups with unknown energies
R02335,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R02336,Not calculated,Not calculated,Involves unknown structures|Involves compounds with unlabeded atoms
R02337,Not calculated,Not calculated,Involves unknown structures|Involves compounds with unlabeded atoms
R02338,-90.8597,1.84622,
R02339,Not calculated,Not calculated,Charge imbalanced
R02340,2.78,0.532047,
R02341,-0.733,0.964152,
R02342,1.584,0.969017,
R02343,6.22,1.09509,
R02344,3.76,1.07969,
R02345,2.73,1.42571,
R02347,2.3,1.11438,
R02349,2.3,1.11438,
R02350,-4.5,0.23673,
R02351,121.577,3.76297,
R02352,2.3,1.11438,
R02353,2.3,1.11438,
R02354,-95.8267,1.31456,
R02355,-95.8267,1.31456,
R02356,-96.1867,1.35632,
R02358,-1.7,0.632032,
R02359,1.137,1.19513,
R02360,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R02361,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced
R02362,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R02363,-83.6537,3.86096,
R02364,Not calculated,Not calculated,Involves unknown structures
R02365,-14.56,2.20142,
R02366,-3.614,1.17862,
R02367,-3.614,1.17862,
R02368,-2.143,0.675486,
R02369,0,2,
R02370,-2.317,0.735634,
R02371,-4.5,0.23673,
R02372,-4.5,0.23673,
R02373,-29.4097,0.804858,
R02374,Not calculated,Not calculated,Involves unknown structures
R02375,-3.614,1.17862,
R02376,-9.167,0.603166,
R02377,5.22,1.06983,
R02378,0.733,0.964152,
R02379,-4.36,2.22091,
R02380,-2.67,0.638381,
R02381,-2.143,0.675486,
R02382,-24.0227,1.03587,
R02383,-95.8267,1.31456,
R02384,-10.46,2.36612,
R02385,-5.294,1.25997,
R02387,-4.054,1.28789,
R02388,-11.54,0.769358,
R02389,-5.34,1.27676,
R02391,11.86,3.00963,
R02393,11.86,3.00963,
R02394,-85.0537,5.67326,
R02395,3.76,1.07969,
R02396,-3.614,1.17862,
R02397,-108.28,0.782868,
R02398,-4.9,0.530953,
R02399,Not calculated,Not calculated,Involves unknown structures
R02401,-9.803,1.17612,
R02402,-1.06,1.21342,
R02404,-1.06,1.21342,
R02405,-1.06,1.21342,
R02406,-1.06,1.21342,
R02407,0,2,
R02408,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R02409,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R02410,-3.113,0.692797,
R02411,0,2,
R02412,-4.5,0.23673,
R02413,0.75,1.13993,
R02414,2.3,1.11438,
R02415,-42.97,4.38498,
R02416,-3.614,1.17862,
R02417,-99.7197,3.04401,
R02418,Not calculated,Not calculated,Involves unknown structures
R02419,0.613,0.872726,
R02420,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies
R02421,Not calculated,Not calculated,Atoms imbalanced|H imbalanced
R02422,10.947,1.18637,
R02423,2.727,1.29616,
R02424,-3.723,1.48752,
R02425,-3.723,1.48752,
R02426,-13.897,0.681919,
R02427,-7.283,1.26367,
R02428,-5.723,1.23618,
R02429,-8.167,0.693353,
R02430,-4.5,0.23673,
R02431,3.76,1.07969,
R02432,-17.11,2.485,
R02433,0,2,
R02434,Not calculated,Not calculated,Charge imbalanced|Involves compounds with unlabeded atoms
R02435,Not calculated,Not calculated,Charge imbalanced
R02436,-3.943,1.14223,
R02437,0.86,1.49358,
R02438,0.24,0.264698,
R02439,-4.55,1.19475,
R02441,3.81,1.6395,
R02442,-95.8267,1.31456,
R02443,-191.653,2.62911,
R02444,-110.08,0.830319,
R02445,-121.157,1.17201,
R02446,8.37,1.84062,
R02447,0.204,4.81404,
R02449,-95.8267,1.31456,
R02450,-8.136,1.5977,
R02451,Not calculated,Not calculated,Involves unknown structures
R02452,-5.294,1.25997,
R02453,-4.054,1.28789,
R02454,2.01,1.70129,
R02455,2.9,1.86338,
R02456,2.9,1.86338,
R02457,-23.0227,1.06194,
R02458,-3.903,1.68444,
R02459,-1.24,0.384678,
R02460,Not calculated,Not calculated,Involves unknown structures
R02461,-1.81,0.257149,
R02462,5.22,1.06983,
R02463,16.55,1.19027,
R02464,2.56,0.379627,
R02465,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms
R02466,Not calculated,Not calculated,Charge imbalanced|Involves compounds with unlabeded atoms
R02467,Not calculated,Not calculated,Involves groups with unknown energies
R02468,-99.8667,1.60868,
R02469,-99.8667,1.60868,
R02470,-96.2567,1.54199,
R02471,5.22,1.06983,
R02472,6.22,1.09509,
R02473,-7.78,0.882611,
R02474,-0.463,0.848213,
R02476,2.3,1.11438,
R02477,2.3,1.11438,
R02478,-1.7,0.632032,
R02479,Not calculated,Not calculated,Involves unknown structures
R02480,Not calculated,Not calculated,Involves unknown structures
R02481,-5.294,1.25997,
R02482,-5.294,1.25997,
R02484,1.584,0.969017,
R02485,-5.143,1.45906,
R02486,-125.4,1.64597,
R02487,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R02488,Not calculated,Not calculated,Involves unknown structures
R02489,-0.1,0.661856,
R02490,2.363,0.822643,
R02491,2.363,0.822643,
R02492,Not calculated,Not calculated,Atoms imbalanced|Charge imbalanced
R02493,-4.5,0.23673,
R02494,2.317,0.735634,
R02497,Not calculated,Not calculated,Involves unknown structures
R02498,Not calculated,Not calculated,Involves unknown structures
R02499,-0.75,1.13993,
R02500,-0.75,1.13993,
R02501,-92.5767,1.27653,
R02502,-1.7,0.632032,
R02503,Not calculated,Not calculated,Involves unknown structures
R02504,Not calculated,Not calculated,Involves groups with unknown energies
R02505,-25.896,4.96618,
R02506,-4.046,1.52188,
R02508,7.816,1.06888,
R02509,-0.963,1.6606,
R02511,Not calculated,Not calculated,Involves unknown structures
R02512,Not calculated,Not calculated,Involves compounds with unlabeded atoms
R02513,-9.823,2.21588,
R02514,-95.8267,1.31456,
R02515,-95.8267,1.31456,
R02516,-95.8267,1.31456,
R02517,-95.8267,1.31456,
R02518,Not calculated,Not calculated,Charge imbalanced
R02519,-81.8697,1.41102,
R02520,-93.8067,0.924406,
R02521,-109.72,0.836599,
R02522,-8.167,0.693353,
R02525,-7.283,1.26367,
R02526,-5.723,1.23618,
R02527,6.22,1.09509,
R02528,-7.68,1.08537,
R02529,-21.5627,1.05191,
R02530,10.266,1.12359,
R02531,6.22,1.09509,
R02532,-24.0227,1.03587,
R02533,-10.46,2.36612,
R02534,-4.36,2.22091,
R02535,-91.9467,1.56852,
R02536,-9.803,1.17612,
R02537,-9.803,1.17612,
R02539,-2.486,1.23168,
R02540,-4.723,0.88056,
R02541,-4.813,0.694983,
R02542,-4.813,0.694983,
R02543,9.006,1.21096,
R02544,13.88,1.42795,
R02545,6.22,1.09509,
R02546,0,2,
R02547,-3.633,1.95984,
R02548,2.3,1.11438,
R02549,-9.803,1.17612,
R02550,96.2567,1.54199,
R02551,5.307,1.05769,
R02552,5.307,1.05769,
R02553,2.3,1.11438,
R02554,-97.2467,1.51614,
R02555,2.01,1.70129,
R02556,-8.483,1.31518,
R02557,1.584,0.969017,
